Retailer Name,Street Address,City,State,Zip,Minor Involved,Sale to Minor,Product Type,Brand,Inspection Date,Decision Date,Inspection Result,Link,Charges
"ROUND TOP LIQUOR","2503 GAINES STREET","LITTLE ROCK","AR",72206,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SUNSHINE STAR LLC","189 SHOEMAKER RD","POTTSTOWN","PA",19464,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"ONE LOVE LLC","2818 W EISENHOWER BLVD","LOVELAND","CO",80537,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"MCGUGINS SHELL OF MONTEREY LLC","509 EAST STRATTON AVENUE","MONTEREY","TN",38574,"Yes","Yes","Cigarettes in a package","Marlboro","04/30/2011",07/21/2011,"Warning Letter","","1140.14(a)-Sale to a minor"
"LONGMONT TRUCK STOP","3851 STATE HIGHWAY 119","LONGMONT","CO",80504,"Yes","Yes","Cigarettes in a package","Other","05/05/2011",07/21/2011,"Warning Letter","","1140.14(a)-Sale to a minor"
"SAVE-A-LOT","2415 BROADWAY  SUITE A","LITTLE ROCK","AR",72206,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"PARADOX LOUNGE","3467 SOUTH BROADWAY","ENGLEWOOD","CO",80113,"No","No","N/A","N/A","05/18/2011",07/21/2011,"Warning Letter","","1140.14(c)-Use of vending machine in non-exempt facility"
"LOVES TRAVEL STOP","6035 E MINVA LN","KINGMAN","AZ",86401,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"LUK OIL STATION","2500 BETHLEHEM PIKE","HATFIELD","PA",19440,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"LUK-OIL","721 ROUTE 113","SOUDERTON","PA",18964,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"LUK-OIL","1054 E MAIN STREET","LANSDALE","PA",19446,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"TOWER MINI MARKETS","RR RTE 147 LENKERVILLE","MILLERSBURG","PA",17061,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"WACHOB'S MARKET","100 WEST MAIN STREET","BIG RUN","PA",15715,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"PENALTA MINI MARKET","733 N 16TH ST","PHILADELPHIA","PA",19130,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"WILLARS MARKET","201 MAIN ST","FALLS CREEK","PA",15840,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"VALLEY MARKET","629 S CHESTER RD","WEST CHESTER","PA",19382,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SHELL MART","2849 W MAIN ST","NORRISTOWN","PA",19403,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"UNI MART","434 MAIN STREET","MCSHERRYSTOWN","PA",17344,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"NELSONS MINI MART PUNXSUTAWNEY","20135 RT 119","PUNXSUTAWNEY","PA",15767,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"SANDOVAL MEXICAN STORE","1101 CARLISLE RD","BIGLERVILLE","PA",17307,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"MILL YARD","162 HOULTON RD","DANFORTH","ME",04424,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"MOBIL","999 W BEALE ST","KINGMAN","AZ",86401,"Yes","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"MOBIL","467 LONGMEADOW STREET","LONGMEADOW","MA",01106,"Yes","Yes","Cigarettes in a package","Other","04/02/2011",07/21/2011,"Warning Letter","","1140.14(a)-Sale to a minor;1140.14(b)(1)-Failure to verify age"
"MOES ONE STOP","407 E 24TH","ERIE","PA",16503,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"MORIN'S VARIETY","756 MAIN ST","MADAWASKA","ME",04756,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
"OVER THE MOUNTAIN","RT 322","ROCKTON","PA",15856,"No","No","N/A","N/A","Not available",07/21/2011,"No Violations Observed","","N/A"
